Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:53oDkbGMYWJzXhP8RG1sxl,"JE HAAT GEEN MAANDAG, JE HAAT KAPITALISME","HET K-WOORD","Hang Youth",2021-06-11,125016,28,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.351,0.313,2,-13.959,1,0.0468,0.0303,0.00000905,0.12,0.119,78.985,4
spotify:track:26LR1DyAaLRGXjq0IiVz4b,"Soms Is Het Te Laat","Het Is Een WIES","WIES",2021-11-12,186093,40,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.566,0.491,6,-6.803,0,0.0278,0.0318,0.00000876,0.317,0.548,104.984,4
spotify:track:21JbJLJm6Fp7BMHcAZ9sFA,"Fuifje","Fuifje","DoeMaarDave",2019-04-16,155081,42,false,,1970-01-01T00:00:00Z,"hollands","Teemong",0.794,0.929,7,-6.351,1,0.065,0.221,0.000154,0.431,0.964,129.94,4
spotify:track:3Gm56jU1B7CLk6UK59MIeJ,"IN DE ARMEN VAN EEN FASCIST","IN DE ARMEN VAN EEN FASCIST","Hang Youth",2022-03-11,125014,23,true,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.604,0.489,7,-8.254,1,0.0299,0.639,0,0.354,0.351,145.149,4
spotify:track:5bFuW1aN7eD5CK6WMeyAb2,"Maar Ik Doe Het Toch","Het Is Een WIES","WIES",2021-11-12,179821,26,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.82,0.421,1,-7.841,1,0.0515,0.345,0.00389,0.0937,0.43,118.019,4
spotify:track:4Z0RY6euB3SE0KtHrxDA4R,"Regendans","Eigen Wereld","Opgezwolle",2008-01-01,197520,41,true,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.742,0.624,1,-7.451,0,0.278,0.274,0.0000047,0.559,0.444,91.997,4
spotify:track:2ibNhXeLiX8fm7KQtQUIgl,"Smokers Outside The Hospital Doors","An End Has a Start","Editors",2007-01-01,297640,50,false,,1970-01-01T00:00:00Z,"","Play It Again Sam",0.529,0.674,7,-3.792,1,0.0369,0.0000463,0.0834,0.115,0.554,122.997,4
spotify:track:1jYjIopHaWuVpmbOymStCN,"WAAROM STEMMEN JULLIE STEEDS OP DE VVD","HET K-WOORD","Hang Youth",2021-06-11,31262,18,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.395,0.691,4,-9.41,1,0.153,0.128,0,0.677,0.661,144.296,4
spotify:track:1wqJsi7dwDQuramYm6UaIc,"Leugenaar","Het Is Een WIES","WIES",2021-11-12,213164,27,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.684,0.459,6,-9.405,0,0.0395,0.0507,0.00281,0.0978,0.385,126.953,4
spotify:track:5S4ZCiUloDUo85G8zudSVl,"Pet van Ket","Pet van Ket","Reinier Zonneveld",2017-09-22,154122,27,false,,1970-01-01T00:00:00Z,"techno,acid techno,hard techno,tekno,minimal techno","Filth on Acid",0.794,0.863,2,-7.576,1,0.102,0.00109,0.532,0.0773,0.715,131.012,4
spotify:track:5TxY7O9lFJJrd22FmboAXe,"Stockholm Syndrome","blink-182","blink-182",2003-11-01,161135,51,false,,1970-01-01T00:00:00Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.401,0.981,0,-4.926,1,0.0876,0.00842,0.0000323,0.106,0.484,173.182,4
spotify:track:3Q5b7zl0bEqrmdeMY4UeS3,"MET JE AKO-IDEOLOGIE","HET K-WOORD","Hang Youth",2021-06-11,62714,18,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.46,0.735,9,-8.397,0,0.0384,0.0545,0,0.387,0.545,93.868,4
spotify:track:10liGAuS2e15KCF84YW35F,"Gewoon Je Maat","Het Is Een WIES","WIES",2021-11-12,180400,23,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.4,0.768,2,-7.279,0,0.166,0.158,0.0000816,0.0987,0.328,152.767,4
spotify:track:2bPGTMB5sFfFYQ2YvSmup0,"Deutschland","Rammstein","Rammstein",2019-05-17,322339,78,false,,1970-01-01T00:00:00Z,"industrial metal,metal,industrial rock,industrial","Rammstein",0.521,0.895,7,-5.242,1,0.0442,0.0000554,0.349,0.0985,0.237,120.117,4
spotify:track:4dxWDDEkFq9VqsAcIM0IpT,"Onbezonnen","Licht En Donker","Froukje",2021-01-07,167434,49,false,,1970-01-01T00:00:00Z,"nederpop","Top Notch Music BV",0.72,0.554,4,-10.856,0,0.295,0.802,0.00636,0.165,0.342,121.996,4
spotify:track:0Qn0UvsR6cjWfWaKy0H2pZ,"IK GEEF EEN NIER VOOR GEEN RUTTE IV","ALLES MOET BETER","Hang Youth",2020-11-17,36492,16,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.218,0.802,1,-8.011,1,0.228,0.00171,0,0.359,0.838,166.659,4
spotify:track:6Gmmmxe0FrpEuSZEaa8kk7,"Radiostilte","Het Is Een WIES","WIES",2021-11-12,171371,30,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.734,0.568,4,-9.156,1,0.0481,0.109,0.000108,0.0912,0.567,138.962,4
spotify:track:4LJhJ6DQS7NwE7UKtvcM52,"What's My Age Again?","Enema Of The State","blink-182",1999-06-01,148360,78,true,,1970-01-01T00:00:00Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.391,0.951,6,-7.419,1,0.0688,0.012,0.000446,0.0878,0.468,157.663,4
spotify:track:1nU2ooQKyk4CsYJMBdIK4J,"The Funeral","The Funeral","YUNGBLUD",2022-03-11,211197,58,true,,1970-01-01T00:00:00Z,"","Locomotion Recordings/ Interscope Records",0.576,0.869,7,-4.339,1,0.0339,0.0000857,0.000071,0.0573,0.746,92.538,4
spotify:track:6EaI29418rm0jK93co6QiB,"(GE)WOONBELEID","(GE)WOONBELEID","Hang Youth",2021-09-12,67547,13,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.247,0.937,4,-6.055,1,0.138,0.0493,0.00932,0.377,0.316,188.035,4
spotify:track:4SYw6dN5HgvfwdIxKHxUR8,"Zo Gek Toch Niet","Het Is Een WIES","WIES",2021-11-12,233521,24,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.589,0.336,10,-13.351,0,0.0277,0.496,0.00101,0.114,0.383,129.946,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,86,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:7wJ9zoDhxK91Pt7RGDcyUI,"Tweede Kamer","Tweede Kamer","Sophie Straat;Goldband",2021-02-05,186499,36,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Sophie Straat",0.814,0.831,7,-4.772,1,0.0398,0.187,0.0000949,0.095,0.962,144.024,4
spotify:track:6iNFMZfxFMiMkRd4xHNXQt,"BELASTINGDIENST","ALLES MOET BETER","Hang Youth",2020-11-17,67610,30,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.443,0.82,7,-8.527,1,0.153,0.00459,0,0.212,0.686,95.112,4
spotify:track:4EchqUKQ3qAQuRNKmeIpnf,"The Kids Aren't Alright","Americana","The Offspring",1998-11-16,180160,83,false,,1970-01-01T00:00:00Z,"punk,skate punk","Concord Records",0.523,0.943,1,-4.203,1,0.0337,0.00704,0.0000381,0.0579,0.766,99.607,4
spotify:track:78NogwkqVC4GBQMxOwOQrC,"Through The Echoes","Last Night In The Bittersweet","Paolo Nutini",2022-07-01,221245,66,false,,1970-01-01T00:00:00Z,"","Atlantic Records UK",0.73,0.487,7,-7.679,1,0.0399,0.285,0.0000349,0.135,0.314,104.933,4
spotify:track:2d0amOy3Pd3Y88EwAtBlj2,"Hemel Valt","Lobi Da Basi","Typhoon",2014-06-17,160840,44,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Top Notch Music BV",0.664,0.736,5,-6.66,1,0.136,0.239,0,0.327,0.742,96.829,4
spotify:track:0wM8XQp5vUEFPmSdVlM6QE,"IK BETAAL ME STUFI NIET TERUG","IK BETAAL ME STUFI NIET TERUG","Hang Youth;Gotu Jim",2022-02-04,98351,18,true,,1970-01-01T00:00:00Z,"nederpop,hard house","Burning Fik",0.165,0.929,6,-4.661,1,0.113,0.0000707,0.000766,0.319,0.542,185.59,4
spotify:track:2T5q7qhJVN4m2hMSIAsOlC,"Enter Sandman - Remastered 2021","Metallica (Remastered 2021)","Metallica",2021-09-10,331560,58,false,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.569,0.838,6,-8.421,0,0.0302,0.0026,0.00836,0.0628,0.615,123.299,4
spotify:track:0IwXp8V7wgFCIthRh2z8Ot,"The Crane Wife 3","The Crane Wife","The Decemberists",2006-10-03,258333,50,false,,1970-01-01T00:00:00Z,"baroque pop,indie folk","Capitol Records",0.588,0.613,2,-9.656,1,0.0396,0.369,0.0422,0.107,0.185,119.536,4
spotify:track:3OtId2P71K4wGAAJk8QCIR,"Honeybrains","Honeybrains","Royal Blood",2022-03-17,186847,49,false,,1970-01-01T00:00:00Z,"garage rock,rock","Warner Records",0.523,0.8,9,-5.243,1,0.101,0.00537,0,0.398,0.604,125.886,3
spotify:track:3gk9GP9zlxJX6rRHHgRLM5,"Barman","Het Is Een WIES","WIES",2021-11-12,197172,41,false,,1970-01-01T00:00:00Z,"nederpop","WIES",0.509,0.301,4,-8.342,1,0.032,0.566,0,0.359,0.166,85.002,4
spotify:track:0lPXW2inKPmesf3Qt9iqmh,"HET KAN ME NIET LINKS GENOEG","HET KAN ME NIET LINKS GENOEG","Hang Youth",2021-03-03,116397,15,true,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.21,0.709,7,-10.742,1,0.156,0.212,0.00000102,0.781,0.773,202.281,4
spotify:track:4nXKO951m6TdWQQbH1KJH3,"Down","blink-182","blink-182",2003-11-01,183844,56,false,,1970-01-01T00:00:00Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.535,0.875,11,-8.316,1,0.0398,0.068,0.00441,0.102,0.345,93.983,4
spotify:track:07orvxY7mbMy7txvSjarnt,"Ik Wil Alleen Maar Zwemmen","Ik Wil Alleen Maar Zwemmen","Spinvis",2006-02-06,228160,44,false,,1970-01-01T00:00:00Z,"nederpop","Excelsior Recordings",0.677,0.647,11,-8.849,1,0.0492,0.0936,0.0505,0.0713,0.839,115.006,4
spotify:track:4ISig8xvPT0SPkeGt3w4GN,"HoedenPlank","Eigen Wereld","Opgezwolle",2008-01-01,197106,42,true,,1970-01-01T00:00:00Z,"","Top Notch Music BV",0.476,0.69,1,-6.247,1,0.374,0.189,0,0.109,0.43,91.051,4
spotify:track:5HC5jTe2yGDmvH5xWiv3MH,"SHELL IS EEN PRIMA BEDRIJF (ALS IK DE WEBSITE MAG GELOVEN)","ALLES MOET BETER","Hang Youth",2020-11-17,49194,23,false,,1970-01-01T00:00:00Z,"nederpop","Burning Fik",0.192,0.728,11,-7.958,1,0.143,0.0346,0.000132,0.39,0.542,196.535,4
spotify:track:1AdYZ6X00nXmO613Y7GJOl,"I Miss You","blink-182","blink-182",2003-11-01,227250,70,false,,1970-01-01T00:00:00Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.423,0.714,11,-8.295,1,0.045,0.00113,0.00000628,0.0855,0.593,110.017,4
spotify:track:7j31rVgGX9Q2blT92VBEA0,"Teenagers","The Black Parade","My Chemical Romance",2006-10-20,161920,82,false,,1970-01-01T00:00:00Z,"emo,pop punk","Reprise",0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,4
spotify:track:0CqKVy5nUqpTr5O8evGZRi,"Lekker - Posij Remix","Lekker (Posij Remix)","Hustle Athletics;Posij",2021-12-17,234857,23,false,,1970-01-01T00:00:00Z,"breakbeat,drumstep,drum and bass,bass music","Vision Recordings",0.787,0.956,5,-3.263,1,0.0747,0.0224,0.639,0.0692,0.613,139.986,4
spotify:track:2aoo2jlRnM3A0NyLQqMN2f,"All Along the Watchtower","Electric Ladyland","Jimi Hendrix",1968-10-25,240800,75,false,,1970-01-01T00:00:00Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.438,0.805,8,-6.237,1,0.0624,0.00255,0.0000569,0.0842,0.564,113.253,4
spotify:track:3j5QcKYJ836ZBbcj1OoEod,"Rose Tattoo","Signed and Sealed In Blood","Dropkick Murphys",2013-01-07,306520,62,false,,1970-01-01T00:00:00Z,"celtic punk,celtic rock,celtic,punk,folk punk","[PIAS] Cooperative",0.522,0.912,9,-2.066,0,0.0353,0.0217,0,0.371,0.628,108.047,4
spotify:track:6tCLQ3LO1V9l6qdrrwdV6q,"My Silver Lining","Stay Gold","First Aid Kit",2014-06-03,215493,65,false,,1970-01-01T00:00:00Z,"indie folk,folk","Columbia",0.479,0.725,2,-4.671,1,0.0335,0.026,0.000129,0.209,0.43,101.938,4
spotify:track:6L89mwZXSOwYl76YXfX13s,"Basket Case","Dookie","Green Day",1994-02-01,181533,84,false,,1970-01-01T00:00:00Z,"punk,pop punk","Reprise",0.442,0.943,3,-3.205,1,0.0602,0.00293,0.00000871,0.091,0.781,85.064,4
spotify:track:1cKWyEiGWLXAUTz6jI1d7c,"Every Shade of Blue","Every Shade of Blue","The Head And The Heart",2022-01-21,213293,31,false,,1970-01-01T00:00:00Z,"indie folk,folk pop,folk","Reprise",0.538,0.61,2,-6.103,1,0.0329,0.105,0.00000588,0.22,0.187,120.051,4
spotify:track:62JvDbmEtwIU3m4LhiG6Ah,"Water Of Love","Dire Straits","Dire Straits",1978-10-07,325133,66,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.817,0.552,7,-12.962,1,0.0336,0.481,0.0144,0.187,0.939,120.918,4
spotify:track:4Mxef2s34ecbB6UtSdSf9E,"No One Loves Me and Neither Do I","Them Crooked Vultures","Them Crooked Vultures",2009-11-17,310376,55,false,,1970-01-01T00:00:00Z,"stoner rock","Them Crooked Vultures",0.231,0.904,2,-5.506,1,0.0895,0.0304,0.00000274,0.15,0.598,176.073,4
spotify:track:6QAsrXPnMSXIbV0yEJHlEX,"Nothing Else Matters - Remastered 2021","Metallica (Remastered Deluxe Box Set)","Metallica",2021-09-10,388733,83,false,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.548,0.395,4,-9.794,0,0.0268,0.0543,0.00000541,0.0791,0.182,142.372,3
spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,"I Follow Rivers - The Magician Remix","I Follow Rivers (The Magician Remix)","Lykke Li;The Magician",2011-10-10,279635,72,false,,1970-01-01T00:00:00Z,"","Atlantic Records",0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,4
spotify:track:4phhyApNuepzbjIRQr0ZfN,"Sworn to Secrecy","We Come from Exploding Stars","Moonlit Sailor",2014-02-25,328506,11,false,,1970-01-01T00:00:00Z,"post-rock","Deep Elm",0.564,0.864,4,-7.219,0,0.0346,0.00111,0.919,0.16,0.414,130.044,4
